j1_angle,j2_angle,j3_angle,motor_temperature,torque_nm,current_amp,status,created_at
0.0,45.0,0.0,35.07,14.64,2.78,OPERATIONAL,2026-05-23T16:01:08.928352
3.0,44.96,1.8,35.14,16.55,3.1,OPERATIONAL,2026-05-23T16:01:10.928352
5.99,44.86,3.59,35.26,16.53,3.27,OPERATIONAL,2026-05-23T16:01:12.928352
8.97,44.68,5.37,35.34,16.05,3.27,OPERATIONAL,2026-05-23T16:01:14.928352
11.92,44.43,7.13,35.47,19.28,3.61,OPERATIONAL,2026-05-23T16:01:16.928352
14.84,44.1,8.87,35.53,19.36,3.73,OPERATIONAL,2026-05-23T16:01:18.928352
17.73,43.71,10.57,35.65,20.52,4.07,OPERATIONAL,2026-05-23T16:01:20.928352
20.57,43.25,12.23,35.71,20.35,3.96,OPERATIONAL,2026-05-23T16:01:22.928352
23.37,42.72,13.85,35.81,20.17,3.85,OPERATIONAL,2026-05-23T16:01:24.928352
26.1,42.12,15.42,35.9,21.49,4.19,OPERATIONAL,2026-05-23T16:01:26.928352
28.77,41.45,16.94,36.01,22.03,4.31,OPERATIONAL,2026-05-23T16:01:28.928352
31.36,40.71,18.39,36.16,21.03,3.93,OPERATIONAL,2026-05-23T16:01:30.928352
33.88,39.91,19.78,36.27,22.13,4.28,OPERATIONAL,2026-05-23T16:01:32.928352
36.31,39.05,21.1,36.39,24.01,4.62,OPERATIONAL,2026-05-23T16:01:34.928352
38.65,38.13,22.34,36.5,23.94,4.56,OPERATIONAL,2026-05-23T16:01:36.928352
40.9,37.14,23.5,36.6,23.03,4.29,OPERATIONAL,2026-05-23T16:01:38.928352
4.304,3.6090000000000004,2.458,41.98,45.28,8.75,FAILURE,2026-05-23T16:01:40.928352
45.08,34.99,25.56,36.67,22.71,4.32,OPERATIONAL,2026-05-23T16:01:42.928352
47.0,33.83,26.46,36.76,21.54,4.12,OPERATIONAL,2026-05-23T16:01:44.928352
48.8,32.62,27.26,36.76,10.55,13.26,FAILURE,2026-05-23T16:01:46.928352
50.49,31.35,27.96,36.83,22.93,4.38,OPERATIONAL,2026-05-23T16:01:48.928352
52.05,30.04,28.56,36.95,21.18,4.15,OPERATIONAL,2026-05-23T16:01:50.928352
53.47,28.67,29.06,37.08,21.41,4.15,OPERATIONAL,2026-05-23T16:01:52.928352
54.77,27.26,29.46,37.2,20.65,3.91,OPERATIONAL,2026-05-23T16:01:54.928352
55.92,25.81,29.74,37.3,20.77,3.97,OPERATIONAL,2026-05-23T16:01:56.928352
